commentCount,dislikeCount,likeCount,viewCount,commentators_uniq,comments_obscene_cnt,video_age,performer,title,music_style
34.0,43.0,1402.0,214301.0,24.0,0.0,1141,2маши,"""#2Маши ""Свободные линии""",popsa
36.0,90.0,512.0,74666.0,27.0,0.0,2160,2маши,"""Моя любимая кухня"". Дорада на скорую руку",popsa
5.0,5.0,132.0,17766.0,4.0,0.0,2164,2маши,"""Моя любимая кухня"". Спецвыпуск. Что мы покупаем на рынке?",popsa
5.0,14.0,153.0,15176.0,4.0,0.0,1317,2маши,"# 2 МАШИ ""Теперь Нас Двое""",popsa
51.0,79.0,1963.0,377074.0,28.0,0.0,1246,2маши,"# 2 Маши "" Мысли"" ..",popsa
62.0,44.0,1014.0,113229.0,42.0,0.0,1235,2маши,"# 2 Маши - ""Теперь нас двое""",popsa
10.0,9.0,198.0,24605.0,9.0,0.0,1196,2маши,"#2 Маши ""Свободные линии""",popsa
983.0,1096.0,35661.0,3232013.0,585.0,9.0,315,2маши,#2Mashi - Descalza (Acoustic),popsa
412.0,318.0,8299.0,1099660.0,258.0,2.0,298,2маши,#2Mashi - Descalza,popsa
147.0,116.0,2492.0,240625.0,80.0,3.0,96,2маши,"#2Maши VLOG [ Как мы снимали клип на песню ""Мама, я Танцую"" ]",popsa
25.0,21.0,537.0,42047.0,16.0,0.0,494,2маши,"#2МАШИ ""ИЗВЕСТИЯ HALL"" [ 22.10.2017 ]",popsa
0.0,2.0,22.0,2370.0,,,1236,2маши,"#2МАШИ ""Теперь нас двое"" (ТИЗЕР)",popsa
8.0,10.0,204.0,10048.0,6.0,0.0,618,2маши,#2МАШИ - ФИЛЬМ о СТЕРВЫХ и РЕЖИССЕРКАЯ версия КЛИПА,popsa
0.0,1.0,56.0,4819.0,,,813,2маши,#2МАШИ - ЭКСКЛЮЗИВ ! RUTV со съемок клипа!!,popsa
0.0,3.0,74.0,5878.0,,,1030,2маши,"#2Маши ""Мы выбираем"" рядио МАЯК LIVE",popsa
10.0,4.0,127.0,6531.0,7.0,0.0,841,2маши,"#2Маши ""Стервы"" LIVE",popsa
66.0,36.0,1413.0,107477.0,43.0,1.0,828,2маши,"#2Маши ""Мы выбираем"" LIVE !",popsa
4.0,1.0,96.0,3795.0,4.0,0.0,1064,2маши,"#2Маши ""тут тебя жду тебя я""",popsa
25.0,8.0,557.0,29057.0,20.0,0.0,795,2маши,"#2Маши - ""СТЕРВЫ"" Квартирник.",popsa
55.0,85.0,1567.0,186665.0,41.0,0.0,244,2маши,#2Маши - Красное Белое [ AUDIO ],popsa
9.0,6.0,210.0,13556.0,6.0,0.0,845,2маши,#2Маши Фотосессия #backstage,popsa
11.0,9.0,235.0,18726.0,9.0,0.0,350,2маши,"#2Маши ""Босая"" ТИЗЕР",popsa
17.0,26.0,523.0,48935.0,10.0,0.0,184,2маши,"#2Маши ""Босая"" ( КАРАОКЕ )",popsa
376.0,232.0,5449.0,285153.0,148.0,10.0,210,2маши,"#2Маши ""Босая"" (Акустика LIVE) Живой звуК",popsa
176.0,81.0,1282.0,88921.0,72.0,0.0,180,2маши,"#2Маши ""Босая"" [ репетиция для Вечернего УРГАНТА"" ]",popsa
47.0,52.0,1444.0,276347.0,33.0,0.0,923,2маши,"#2Маши ""Вселенная У.""",popsa
4090.0,14079.0,162063.0,38074573.0,934.0,35.0,105,2маши,"#2Маши ""МАМА, Я ТАНЦУЮ "" [ ПРЕМЬЕРА КЛИПА ]",popsa
284.0,602.0,7840.0,1994064.0,150.0,1.0,108,2маши,"#2Маши ""Мама, я танцую"" ПРЕМЬЕРА [ AUDIO ]",popsa
43.0,38.0,1894.0,171065.0,24.0,0.0,547,2маши,"#2Маши ""Мир раскололся на 2 части"" [Live Session]",popsa
3.0,1.0,77.0,5342.0,3.0,0.0,938,2маши,"#2Маши ""Мы выбираем"" Backstage !!",popsa
3.0,2.0,27.0,2359.0,1.0,0.0,976,2маши,"#2Маши ""Мы выбираем"" ТИЗЕР",popsa
486.0,159.0,2665.0,189689.0,,,60,2маши,"#2Маши ""Наше кино про поездку в Таллин"" [ Март 2018 ]",popsa
103.0,136.0,3640.0,775708.0,60.0,3.0,1283,2маши,"#2Маши ""Птицы""",popsa
2.0,1.0,44.0,3611.0,2.0,0.0,794,2маши,"#2Маши ""СВОБОДНЫЕ ЛИНИИ"" VOLTA",popsa
12.0,8.0,200.0,12022.0,11.0,0.0,540,2маши,"#2Маши ""Теперь нас двое"" LIVE Session",popsa
17.0,5.0,370.0,12642.0,13.0,0.0,940,2маши,"#2Маши ""Теперь нас двое"" улично Питерский вариант",popsa
15.0,13.0,424.0,56509.0,7.0,1.0,1122,2маши,"#2Маши ""Тут тебя жду тебя я """,popsa
360.0,465.0,7947.0,909663.0,257.0,4.0,168,2маши,"#2Маши ""Факты"" [ официальный клип ]",popsa
53.0,55.0,1112.0,212675.0,31.0,0.0,685,2маши,"#2Маши ""Я К ТЕБЕ""",popsa
0.0,2.0,112.0,8025.0,,,1144,2маши,"#2Маши ""с приветом с чудо острова Koh Phangan""",popsa
78.0,239.0,2495.0,484388.0,53.0,3.0,649,2маши,#2Маши - Босая ( Lyric Video / Лирик Видео ) ПРЕМЬЕРА,popsa
1.0,1.0,67.0,2891.0,1.0,0.0,927,2маши,"#2Маши - ""Мы голосуем""",popsa
13.0,17.0,376.0,34770.0,12.0,1.0,902,2маши,"#2Маши - ""СТЕРВЫ""",popsa
743.0,1477.0,24814.0,5846024.0,425.0,9.0,867,2маши,"#2Маши - ""Тут тебя жду тебя я""",popsa
5.0,4.0,132.0,9304.0,3.0,0.0,1033,2маши,#2Маши - 16Тонн,popsa
7644.0,35087.0,263755.0,115832162.0,1181.0,60.0,349,2маши,#2Маши - Босая,popsa
459.0,1536.0,13809.0,3396401.0,1181.0,60.0,568,2маши,#2Маши - Босая,popsa
457.0,496.0,12404.0,3066623.0,301.0,6.0,534,2маши,#2Маши - ВРЕМЯ [ Премьера 2017 ],popsa
2.0,2.0,54.0,2864.0,2.0,0.0,1032,2маши,#2Маши - Выступление в ночном клубе,popsa
1101.0,3089.0,37561.0,12752964.0,499.0,13.0,239,2маши,#2Маши - Красное Белое,popsa
30.0,16.0,544.0,37480.0,25.0,0.0,377,2маши,#2Маши - Мы выбираем (live),popsa
638.0,1908.0,20740.0,7384538.0,322.0,7.0,962,2маши,#2Маши - Мы выбираем (клип),popsa
879.0,443.0,10949.0,2511807.0,775.0,4.0,734,2маши,"#2Маши - Стервы (Премьера клипа, 2017)",popsa
125.0,88.0,2235.0,131633.0,88.0,2.0,202,2маши,#2Маши - Факты [ AUDIO ],popsa
20.0,4.0,430.0,23639.0,11.0,0.0,681,2маши,"#2Маши - как мы записывали ""Звезды""",popsa
9.0,5.0,125.0,10372.0,7.0,0.0,486,2маши,#2Маши - сюжет RUTV о концерте в ИЗВЕСТИЯ Hall,popsa
0.0,1.0,18.0,1446.0,,,875,2маши,#2Маши 4 ноября в RED,popsa
3.0,2.0,87.0,3650.0,1.0,0.0,822,2маши,#2Маши Mannequin Challenge,popsa
